Purchase_Year,Original_Price,Furniture_Type,Material,Quality,Color,Condition_Years,Target_Year,Predicted_Price
2022,"₹31,223",Bed,Plywood,Medium,White,3,2025,"₹15,986"
2015,"₹37,764",Cabinet,Plastic,High,Grey,10,2025,"₹13,167"
2024,"₹31,460",Table,Engineered Wood,Low,Brown,1,2025,"₹22,022"
2019,"₹5,800",Wardrobe,Wood,Medium,Teak,6,2025,"₹1,520"
2024,"₹28,953",Wardrobe,Plastic,Low,Beige,1,2025,"₹20,267"
2022,"₹25,012",Chair,Steel,Low,Walnut,3,2025,"₹8,579"
2018,"₹13,673",Dining Table,MDF,Low,White,7,2025,"₹1,126"
2023,"₹39,093",TV Unit,Steel,High,White,2,2025,"₹31,665"
2016,"₹33,026",Table,Steel,Medium,Beige,9,2025,"₹4,432"
2021,"₹12,941",Wardrobe,Plastic,Low,Grey,4,2025,"₹3,107"
2023,"₹40,689",Sofa,Plywood,Low,Black,2,2025,"₹19,937"
2016,"₹14,817",Dresser,Wood,Low,Black,9,2025,"₹1,000"
2022,"₹35,976",Chair,Wood,Medium,Cream,3,2025,"₹18,419"
2020,"₹48,432",Dining Table,Wood,Low,Black,5,2025,"₹8,139"
2015,"₹24,264",Cabinet,Wood,Low,Walnut,10,2025,"₹1,000"
2024,"₹39,536",Dresser,MDF,High,Blue,1,2025,"₹35,582"
2016,"₹8,711",Bookshelf,Wood,High,Teak,9,2025,"₹3,374"
2018,"₹16,080",Dresser,Steel,High,Cream,7,2025,"₹7,691"
2015,"₹48,989",Bookshelf,Wood,Medium,Brown,10,2025,"₹5,260"
2017,"₹19,516",Dresser,Engineered Wood,Low,Cream,8,2025,"₹1,125"
2015,"₹15,450",Bookshelf,MDF,Low,Red,10,2025,"₹1,000"
2021,"₹15,645",TV Unit,Plywood,Medium,Teak,4,2025,"₹6,408"
2024,"₹41,340",Table,Engineered Wood,Medium,Blue,1,2025,"₹33,072"
2016,"₹3,106",Sofa,Plastic,Medium,White,9,2025,"₹1,000"
2021,"₹44,448",Chair,Wood,Low,Teak,4,2025,"₹10,671"
2020,"₹49,095",Dresser,MDF,Medium,White,5,2025,"₹16,087"
2020,"₹4,537",Bed,MDF,Medium,Beige,5,2025,"₹1,486"
2017,"₹12,812",Chair,Plywood,Low,Cream,8,2025,"₹1,000"
2017,"₹47,357",Chair,Plywood,High,Black,8,2025,"₹20,385"
2015,"₹5,823",Wardrobe,MDF,Medium,Brown,10,2025,"₹1,000"
2017,"₹28,770",Table,Wood,High,Teak,8,2025,"₹12,384"
2018,"₹24,619",Sofa,Teak Wood,High,Blue,7,2025,"₹11,775"
2020,"₹33,109",Bed,Plywood,Low,Cream,5,2025,"₹5,564"
2017,"₹21,310",Bed,Teak Wood,High,Brown,8,2025,"₹9,173"
2022,"₹6,029",Table,Engineered Wood,Low,Blue,3,2025,"₹2,067"
2021,"₹45,904",Wardrobe,MDF,Medium,Walnut,4,2025,"₹18,802"
2024,"₹45,313",Dresser,Engineered Wood,High,Beige,1,2025,"₹40,781"
2021,"₹39,236",Dining Table,Engineered Wood,High,Red,4,2025,"₹25,742"
2022,"₹33,222",Cabinet,Teak Wood,Low,Brown,3,2025,"₹11,395"
2021,"₹24,935",Dresser,Steel,High,Red,4,2025,"₹16,359"
2023,"₹33,328",Table,Teak Wood,Medium,Blue,2,2025,"₹21,329"
2021,"₹40,898",Bed,Wood,Low,Red,4,2025,"₹9,819"
2019,"₹27,396",TV Unit,Engineered Wood,Medium,Beige,6,2025,"₹7,181"
2017,"₹16,786",Wardrobe,Plastic,Low,Walnut,8,2025,"₹1,000"
2019,"₹13,413",TV Unit,MDF,Low,Red,6,2025,"₹1,578"
2017,"₹3,049",Table,MDF,High,Beige,8,2025,"₹1,312"
2017,"₹5,508",Table,Engineered Wood,Medium,Blue,8,2025,"₹1,000"
2019,"₹40,549",Wardrobe,Engineered Wood,High,Cream,6,2025,"₹21,549"
2017,"₹45,591",Chair,MDF,Medium,Walnut,8,2025,"₹7,648"
2023,"₹32,869",Dresser,Engineered Wood,High,Grey,2,2025,"₹26,623"
2015,"₹29,086",Table,Teak Wood,High,White,10,2025,"₹10,141"
2015,"₹20,170",Dining Table,Plywood,Low,Beige,10,2025,"₹1,000"
2017,"₹7,825",Table,Steel,High,Teak,8,2025,"₹3,368"
2019,"₹20,989",Cabinet,Engineered Wood,High,Teak,6,2025,"₹11,154"
2018,"₹32,460",Dresser,Engineered Wood,Medium,Blue,7,2025,"₹6,807"
2017,"₹40,630",Table,Plywood,Medium,Cream,8,2025,"₹6,816"
2015,"₹26,681",Bed,Wood,Medium,Red,10,2025,"₹2,864"
2020,"₹47,673",Dining Table,Steel,Low,Red,5,2025,"₹8,012"
2022,"₹6,740",TV Unit,MDF,Low,Cream,3,2025,"₹2,311"
2015,"₹6,196",Bed,Wood,High,Red,10,2025,"₹2,160"
2016,"₹34,496",TV Unit,Teak Wood,Medium,Brown,9,2025,"₹4,629"
2018,"₹39,410",Bookshelf,Teak Wood,High,Teak,7,2025,"₹18,849"
2022,"₹31,980",Chair,MDF,Low,Teak,3,2025,"₹10,969"
2022,"₹48,228",TV Unit,Wood,Low,Grey,3,2025,"₹16,542"
2024,"₹9,092",Sofa,Steel,High,White,1,2025,"₹8,182"
2019,"₹41,516",Bed,Plastic,Low,Grey,6,2025,"₹4,884"
2015,"₹24,763",TV Unit,Plywood,High,Beige,10,2025,"₹8,634"
2021,"₹16,762",Dining Table,Teak Wood,Medium,Beige,4,2025,"₹6,865"
2021,"₹16,303",Chair,Steel,High,Black,4,2025,"₹10,696"
2023,"₹36,061",Bookshelf,Plywood,Medium,White,2,2025,"₹23,079"
2015,"₹15,329",TV Unit,Wood,High,Teak,10,2025,"₹5,344"
2022,"₹28,068",Chair,MDF,Low,Black,3,2025,"₹9,627"
2021,"₹5,826",TV Unit,Engineered Wood,Low,Walnut,4,2025,"₹1,398"
2024,"₹45,880",Bed,Plywood,Low,Walnut,1,2025,"₹32,115"
2024,"₹19,223",Wardrobe,MDF,Low,Teak,1,2025,"₹13,456"
2022,"₹19,621",Chair,Steel,Low,White,3,2025,"₹6,730"
2020,"₹24,812",Chair,Wood,Medium,Blue,5,2025,"₹8,130"
2020,"₹46,297",Dresser,Wood,High,Beige,5,2025,"₹27,337"
2022,"₹44,302",TV Unit,Plastic,High,Red,3,2025,"₹32,296"
2024,"₹32,331",TV Unit,Teak Wood,Low,Teak,1,2025,"₹22,631"
2016,"₹12,739",Dining Table,MDF,High,Grey,9,2025,"₹4,935"
2024,"₹9,171",Cabinet,Teak Wood,Medium,Blue,1,2025,"₹7,336"
2018,"₹21,088",Bed,MDF,Low,Beige,7,2025,"₹1,736"
2021,"₹16,189",Chair,Wood,High,Beige,4,2025,"₹10,621"
2024,"₹49,782",Cabinet,Steel,Medium,Blue,1,2025,"₹39,825"
2018,"₹27,714",Dining Table,Plastic,Medium,Red,7,2025,"₹5,812"
2024,"₹12,866",Chair,Wood,Medium,Blue,1,2025,"₹10,292"
2019,"₹48,452",TV Unit,Plastic,Medium,Teak,6,2025,"₹12,701"
2015,"₹40,621",Sofa,Steel,High,Brown,10,2025,"₹14,163"
2022,"₹48,013",TV Unit,Wood,Low,Blue,3,2025,"₹16,468"
2019,"₹3,786",Chair,Plywood,High,Brown,6,2025,"₹2,012"
2015,"₹48,981",TV Unit,Plywood,Low,Red,10,2025,"₹1,383"
2021,"₹35,918",Bookshelf,MDF,High,Blue,4,2025,"₹23,565"
2022,"₹28,229",TV Unit,MDF,High,Red,3,2025,"₹20,578"
2022,"₹39,982",Sofa,Steel,Medium,Black,3,2025,"₹20,470"
2020,"₹40,994",Table,Teak Wood,High,Teak,5,2025,"₹24,206"
2018,"₹40,471",Wardrobe,Wood,Medium,Brown,7,2025,"₹8,487"
2017,"₹19,723",Sofa,Plastic,Medium,Grey,8,2025,"₹3,308"
2020,"₹38,481",Dining Table,Teak Wood,Medium,Walnut,5,2025,"₹12,609"
2017,"₹24,377",Table,Wood,Medium,Grey,8,2025,"₹4,089"
2017,"₹4,813",Wardrobe,Plywood,Medium,White,8,2025,"₹1,000"
2022,"₹33,687",Dresser,MDF,Low,Red,3,2025,"₹11,554"
2021,"₹38,178",Wardrobe,Plywood,High,Grey,4,2025,"₹25,048"
2018,"₹20,821",Wardrobe,Teak Wood,High,Black,7,2025,"₹9,958"
2016,"₹46,552",Bookshelf,Steel,Medium,Grey,9,2025,"₹6,248"
2021,"₹18,131",Bookshelf,Engineered Wood,Low,Beige,4,2025,"₹4,353"
2017,"₹25,138",Bookshelf,Engineered Wood,Medium,Teak,8,2025,"₹4,217"
2024,"₹9,868",Bed,Teak Wood,Medium,Teak,1,2025,"₹7,894"
2024,"₹21,117",Dining Table,Engineered Wood,Low,White,1,2025,"₹14,781"
2024,"₹14,654",Bed,Plastic,High,Grey,1,2025,"₹13,188"
2022,"₹22,299",Sofa,Steel,Low,White,3,2025,"₹7,648"
2022,"₹18,534",TV Unit,MDF,Medium,Black,3,2025,"₹9,489"
2021,"₹18,538",Bed,Wood,High,Brown,4,2025,"₹12,162"
2018,"₹16,553",Bed,Teak Wood,Medium,Beige,7,2025,"₹3,471"
2015,"₹10,074",Bed,Plywood,Low,Teak,10,2025,"₹1,000"
2015,"₹34,513",Sofa,Engineered Wood,High,Grey,10,2025,"₹12,033"
2022,"₹17,294",Cabinet,Steel,High,Beige,3,2025,"₹12,607"
2024,"₹14,836",Cabinet,Plastic,High,Beige,1,2025,"₹13,352"
2016,"₹48,254",Dresser,MDF,Low,Black,9,2025,"₹1,947"
2015,"₹6,053",Bed,Plastic,Low,Teak,10,2025,"₹1,000"
2016,"₹25,479",Chair,Steel,High,Grey,9,2025,"₹9,871"
2016,"₹29,281",Table,Plywood,High,Brown,9,2025,"₹11,344"
2022,"₹15,052",Sofa,Steel,High,Brown,3,2025,"₹10,972"
2024,"₹49,042",TV Unit,Plastic,Medium,Brown,1,2025,"₹39,233"
2021,"₹33,541",Chair,Teak Wood,Medium,Red,4,2025,"₹13,738"
2021,"₹29,537",Bookshelf,Teak Wood,High,Red,4,2025,"₹19,379"
2018,"₹26,352",Table,Engineered Wood,Medium,Red,7,2025,"₹5,526"
2022,"₹6,769",Cabinet,Plastic,High,Teak,3,2025,"₹4,934"
2020,"₹13,027",Dresser,Plywood,Medium,Brown,5,2025,"₹4,268"
2015,"₹34,276",Cabinet,Wood,Low,Brown,10,2025,"₹1,000"
2016,"₹46,120",Sofa,Plywood,Low,Black,9,2025,"₹1,861"
2021,"₹42,090",Wardrobe,Steel,High,Walnut,4,2025,"₹27,615"
2020,"₹42,692",Cabinet,MDF,Low,Walnut,5,2025,"₹7,175"
2021,"₹25,143",Chair,Plastic,High,Cream,4,2025,"₹16,496"
2018,"₹26,501",TV Unit,Plastic,Low,Beige,7,2025,"₹2,182"
2024,"₹38,244",TV Unit,Plastic,Low,Red,1,2025,"₹26,770"
2022,"₹49,988",Bookshelf,Steel,Medium,Black,3,2025,"₹25,593"
2023,"₹44,905",Dresser,Steel,Medium,Walnut,2,2025,"₹28,739"
2019,"₹30,321",TV Unit,MDF,Low,Red,6,2025,"₹3,567"
2016,"₹43,042",Sofa,Teak Wood,High,Brown,9,2025,"₹16,675"
2015,"₹40,046",Dining Table,MDF,Low,Red,10,2025,"₹1,131"
2017,"₹15,516",Bookshelf,Wood,High,Walnut,8,2025,"₹6,679"
2020,"₹14,834",Wardrobe,MDF,Medium,Black,5,2025,"₹4,860"
2021,"₹31,856",Sofa,Engineered Wood,Medium,Walnut,4,2025,"₹13,048"
2024,"₹19,463",Chair,Plywood,Medium,Grey,1,2025,"₹15,570"
2020,"₹30,910",Bookshelf,MDF,Low,Blue,5,2025,"₹5,195"
2017,"₹35,714",Dining Table,Plywood,Low,Beige,8,2025,"₹2,058"
2016,"₹25,040",Chair,Wood,High,Walnut,9,2025,"₹9,701"
2017,"₹33,147",Chair,MDF,High,Blue,8,2025,"₹14,268"
2018,"₹42,313",TV Unit,Teak Wood,High,Brown,7,2025,"₹20,238"
2021,"₹41,692",Dresser,Steel,Low,Beige,4,2025,"₹10,010"
2018,"₹48,169",Chair,Engineered Wood,Low,Brown,7,2025,"₹3,966"
2024,"₹38,208",Dresser,Engineered Wood,High,Red,1,2025,"₹34,387"
2018,"₹34,775",Chair,Engineered Wood,Medium,Red,7,2025,"₹7,292"
2018,"₹33,546",Bed,Plastic,Medium,Brown,7,2025,"₹7,035"
2022,"₹29,541",Sofa,Steel,Medium,Red,3,2025,"₹15,124"
2021,"₹14,216",Dresser,Engineered Wood,Medium,White,4,2025,"₹5,822"
2019,"₹32,240",Dresser,Teak Wood,Low,Grey,6,2025,"₹3,793"
2015,"₹48,270",Chair,Plastic,Low,Brown,10,2025,"₹1,363"
2015,"₹36,865",Dining Table,Plastic,Low,Brown,10,2025,"₹1,041"
2023,"₹6,782",Table,Engineered Wood,High,Brown,2,2025,"₹5,493"
2016,"₹10,461",Chair,Wood,High,Teak,9,2025,"₹4,052"
2019,"₹17,655",Chair,Plywood,High,Brown,6,2025,"₹9,382"
2022,"₹18,652",Bed,Steel,High,Black,3,2025,"₹13,597"
2018,"₹37,465",Bookshelf,Plywood,Medium,Black,7,2025,"₹7,856"
2017,"₹34,413",Table,Engineered Wood,Low,Cream,8,2025,"₹1,983"
2016,"₹40,527",Chair,MDF,Low,Walnut,9,2025,"₹1,635"
2019,"₹49,849",Bed,MDF,Low,Grey,6,2025,"₹5,864"
2024,"₹19,862",Bed,Engineered Wood,Medium,Beige,1,2025,"₹15,889"
2021,"₹15,317",Table,Plastic,Medium,Red,4,2025,"₹6,273"
2018,"₹15,202",Dresser,MDF,Low,Teak,7,2025,"₹1,251"
2016,"₹13,678",Chair,Plastic,High,Walnut,9,2025,"₹5,299"
2024,"₹27,187",Sofa,Plywood,Medium,Red,1,2025,"₹21,749"
2019,"₹35,727",Chair,Wood,High,Grey,6,2025,"₹18,986"
2022,"₹30,766",Dining Table,Plastic,Low,Brown,3,2025,"₹10,552"
2023,"₹14,402",Wardrobe,Teak Wood,Medium,Cream,2,2025,"₹9,217"
2018,"₹4,146",Dining Table,Engineered Wood,High,Black,7,2025,"₹1,983"
2022,"₹44,506",Wardrobe,Teak Wood,Medium,Beige,3,2025,"₹22,787"
2016,"₹18,620",Sofa,Steel,High,White,9,2025,"₹7,213"
2018,"₹39,398",Chair,Engineered Wood,High,Brown,7,2025,"₹18,843"
2015,"₹16,714",Cabinet,Teak Wood,High,Grey,10,2025,"₹5,827"
2019,"₹30,424",Sofa,Steel,High,Teak,6,2025,"₹16,168"
2015,"₹4,410",Sofa,Wood,Medium,White,10,2025,"₹1,000"
2019,"₹24,825",Sofa,MDF,Low,Brown,6,2025,"₹2,920"
2017,"₹28,352",Chair,Steel,Medium,Red,8,2025,"₹4,756"
2016,"₹27,437",Chair,Steel,Medium,Teak,9,2025,"₹3,682"
2018,"₹30,751",Table,Teak Wood,Low,Cream,7,2025,"₹2,532"
2022,"₹42,684",Dining Table,Steel,Low,Brown,3,2025,"₹14,640"
2023,"₹34,187",Chair,Plywood,High,Brown,2,2025,"₹27,691"
2023,"₹49,178",Wardrobe,Teak Wood,Medium,Black,2,2025,"₹31,473"
2015,"₹28,829",Cabinet,Steel,Medium,Cream,10,2025,"₹3,095"
2020,"₹37,432",Dresser,MDF,Medium,Blue,5,2025,"₹12,265"
2021,"₹13,102",Dresser,Teak Wood,Medium,Walnut,4,2025,"₹5,366"
2016,"₹41,340",Dining Table,Plywood,Low,White,9,2025,"₹1,668"
2017,"₹20,532",Cabinet,Wood,Medium,Cream,8,2025,"₹3,444"
2017,"₹42,864",TV Unit,Wood,Low,Beige,8,2025,"₹2,471"
2021,"₹9,846",TV Unit,Plywood,High,Black,4,2025,"₹6,459"
2017,"₹27,310",Table,Teak Wood,High,Beige,8,2025,"₹11,756"
2018,"₹42,449",Dresser,Plastic,High,Blue,7,2025,"₹20,303"
2019,"₹24,655",Chair,Plastic,Low,Teak,6,2025,"₹2,900"
2024,"₹29,294",Table,Engineered Wood,Medium,Brown,1,2025,"₹23,435"
2021,"₹45,103",Bookshelf,Teak Wood,High,Blue,4,2025,"₹29,592"
2015,"₹14,884",Bed,Wood,High,Blue,10,2025,"₹5,189"
2018,"₹4,058",Wardrobe,Plastic,Medium,Brown,7,2025,"₹1,000"
2019,"₹22,185",Cabinet,Steel,High,Brown,6,2025,"₹11,790"
2018,"₹11,630",Chair,MDF,High,Black,7,2025,"₹5,562"
2022,"₹22,279",Bookshelf,MDF,Medium,Grey,3,2025,"₹11,406"
2024,"₹25,413",Bed,Engineered Wood,Low,Blue,1,2025,"₹17,789"
2018,"₹18,059",Bookshelf,Steel,High,Brown,7,2025,"₹8,637"
2020,"₹20,133",Dining Table,MDF,High,Teak,5,2025,"₹11,888"
2018,"₹40,578",Sofa,Engineered Wood,High,Grey,7,2025,"₹19,408"
2024,"₹22,362",Bookshelf,Plywood,Medium,Cream,1,2025,"₹17,889"
2020,"₹36,913",TV Unit,Plastic,Low,Black,5,2025,"₹6,203"
2017,"₹38,411",Table,MDF,Low,Grey,8,2025,"₹2,214"
2020,"₹46,847",TV Unit,Plastic,High,Blue,5,2025,"₹27,662"
2020,"₹41,483",Bookshelf,Plywood,Medium,Grey,5,2025,"₹13,593"
2016,"₹26,966",TV Unit,Plastic,Medium,Black,9,2025,"₹3,619"
2015,"₹13,595",Bed,Engineered Wood,Low,Blue,10,2025,"₹1,000"
2021,"₹22,086",Dresser,Teak Wood,Medium,Brown,4,2025,"₹9,046"
2017,"₹7,418",Table,Teak Wood,High,Grey,8,2025,"₹3,193"
2020,"₹36,874",Bed,Engineered Wood,Low,Teak,5,2025,"₹6,197"
2022,"₹7,623",Table,Teak Wood,High,Beige,3,2025,"₹5,557"
2020,"₹45,719",Bookshelf,Engineered Wood,High,Grey,5,2025,"₹26,996"
2022,"₹49,787",Bed,Engineered Wood,High,Beige,3,2025,"₹36,294"
2019,"₹35,562",Table,Plywood,Medium,Black,6,2025,"₹9,322"
2016,"₹7,627",Cabinet,Teak Wood,Low,Grey,9,2025,"₹1,000"
2024,"₹42,244",Table,Steel,High,Red,1,2025,"₹38,019"
2021,"₹30,227",Table,Steel,High,Beige,4,2025,"₹19,831"
2020,"₹20,780",Sofa,MDF,Low,Beige,5,2025,"₹3,492"
2019,"₹28,074",Wardrobe,MDF,Low,Grey,6,2025,"₹3,302"
2015,"₹8,242",Sofa,Plastic,Low,Brown,10,2025,"₹1,000"
2019,"₹20,160",Bed,Engineered Wood,Medium,Cream,6,2025,"₹5,284"
2017,"₹28,731",Wardrobe,Steel,High,Brown,8,2025,"₹12,367"
2019,"₹49,942",Wardrobe,Plastic,Low,Blue,6,2025,"₹5,875"
2015,"₹20,163",Wardrobe,Plywood,High,White,10,2025,"₹7,030"
2020,"₹14,310",Table,Teak Wood,Medium,Teak,5,2025,"₹4,689"
2022,"₹49,722",Bed,MDF,Medium,Cream,3,2025,"₹25,457"
2015,"₹33,091",Sofa,Plastic,High,Walnut,10,2025,"₹11,538"
2018,"₹11,714",Bed,Engineered Wood,High,Black,7,2025,"₹5,602"
2019,"₹36,268",Table,MDF,High,Black,6,2025,"₹19,274"
2024,"₹35,070",Bookshelf,MDF,High,Brown,1,2025,"₹31,563"
2020,"₹10,000",Wardrobe,Wood,Medium,Teak,5,2025,"₹3,276"
2024,"₹10,789",Chair,Engineered Wood,High,Grey,1,2025,"₹9,710"
2015,"₹22,067",Wardrobe,Plywood,Low,Blue,10,2025,"₹1,000"
2023,"₹14,687",Dining Table,MDF,High,Red,2,2025,"₹11,896"
2017,"₹18,390",Cabinet,Wood,Medium,Brown,8,2025,"₹3,085"
2021,"₹15,441",Bookshelf,Steel,Low,Beige,4,2025,"₹3,707"
2016,"₹49,858",Chair,Teak Wood,Medium,Teak,9,2025,"₹6,691"
2020,"₹5,530",Dining Table,MDF,Medium,Cream,5,2025,"₹1,812"
2021,"₹27,611",Dresser,Steel,Medium,Walnut,4,2025,"₹11,309"
2018,"₹30,683",Chair,Engineered Wood,High,Teak,7,2025,"₹14,675"
2024,"₹44,569",Dining Table,Steel,Medium,Brown,1,2025,"₹35,655"
2019,"₹10,118",Table,Plywood,Low,Blue,6,2025,"₹1,190"
2017,"₹5,763",TV Unit,Plywood,Medium,White,8,2025,"₹1,000"
2016,"₹5,814",Wardrobe,MDF,Medium,Blue,9,2025,"₹1,000"
2015,"₹3,938",Dining Table,Wood,High,Grey,10,2025,"₹1,373"
2024,"₹6,744",Bed,Teak Wood,Medium,Blue,1,2025,"₹5,395"
2019,"₹30,107",TV Unit,MDF,Low,Blue,6,2025,"₹3,542"
2017,"₹35,700",TV Unit,Steel,High,Walnut,8,2025,"₹15,367"
2018,"₹35,773",Bed,Engineered Wood,High,Blue,7,2025,"₹17,110"
2024,"₹19,025",Sofa,Plywood,High,White,1,2025,"₹17,122"
2016,"₹16,276",Sofa,Engineered Wood,High,Cream,9,2025,"₹6,305"
2016,"₹7,903",Chair,Plywood,High,Teak,9,2025,"₹3,061"
2018,"₹30,086",Wardrobe,Engineered Wood,Medium,Beige,7,2025,"₹6,309"
2017,"₹9,106",Cabinet,Plastic,High,Black,8,2025,"₹3,919"
2020,"₹7,204",TV Unit,Plastic,High,Black,5,2025,"₹4,253"
2023,"₹23,746",Dining Table,Wood,Medium,White,2,2025,"₹15,197"
2019,"₹31,429",Sofa,Engineered Wood,Low,Black,6,2025,"₹3,697"
2019,"₹36,375",Dining Table,Steel,High,Cream,6,2025,"₹19,331"
2019,"₹40,075",Cabinet,Steel,Low,Grey,6,2025,"₹4,714"
2015,"₹5,675",Wardrobe,MDF,High,Teak,10,2025,"₹1,978"
2021,"₹10,099",Table,Engineered Wood,High,Grey,4,2025,"₹6,625"
2024,"₹6,077",Wardrobe,MDF,Medium,Teak,1,2025,"₹4,861"
2020,"₹23,607",Bed,Teak Wood,High,Teak,5,2025,"₹13,939"
2016,"₹16,777",Table,Wood,Medium,Walnut,9,2025,"₹2,251"
2022,"₹35,831",Sofa,Plywood,Low,White,3,2025,"₹12,290"
2022,"₹10,551",Bookshelf,Plastic,Low,Red,3,2025,"₹3,618"
2022,"₹46,785",Chair,Steel,High,Black,3,2025,"₹34,106"
2022,"₹36,385",Cabinet,Steel,High,Grey,3,2025,"₹26,524"
2021,"₹15,682",Sofa,Wood,High,Red,4,2025,"₹10,288"
2015,"₹35,201",Dresser,Teak Wood,High,Blue,10,2025,"₹12,273"
2018,"₹15,146",Table,Steel,Low,Teak,7,2025,"₹1,247"
2019,"₹38,368",Chair,Teak Wood,High,White,6,2025,"₹20,390"
2015,"₹18,179",Bookshelf,Plywood,Medium,Blue,10,2025,"₹1,951"
2019,"₹10,563",Chair,Teak Wood,High,Brown,6,2025,"₹5,613"
2016,"₹9,448",TV Unit,Steel,Medium,Grey,9,2025,"₹1,268"
2018,"₹13,349",Sofa,Teak Wood,High,Blue,7,2025,"₹6,384"
2018,"₹30,331",Wardrobe,Steel,High,Brown,7,2025,"₹14,507"
2020,"₹28,333",Bookshelf,Plastic,Low,Cream,5,2025,"₹4,761"
2015,"₹42,806",Chair,Teak Wood,Low,Brown,10,2025,"₹1,209"
2022,"₹14,937",Sofa,Plastic,Low,Blue,3,2025,"₹5,123"
2017,"₹5,225",Table,Plastic,High,Red,8,2025,"₹2,249"
2023,"₹48,064",Chair,Engineered Wood,Medium,Cream,2,2025,"₹30,760"
2023,"₹35,977",Dresser,Engineered Wood,Medium,White,2,2025,"₹23,025"
2021,"₹10,819",TV Unit,Plastic,Low,Grey,4,2025,"₹2,597"
2021,"₹30,285",Bed,Steel,High,Teak,4,2025,"₹19,869"
2019,"₹9,027",TV Unit,Plywood,Medium,Blue,6,2025,"₹2,366"
2022,"₹48,247",Chair,Teak Wood,High,Brown,3,2025,"₹35,172"
2024,"₹8,392",Chair,Teak Wood,Low,Black,1,2025,"₹5,874"
2020,"₹17,521",TV Unit,Plywood,High,Blue,5,2025,"₹10,345"
2017,"₹31,818",Wardrobe,MDF,High,Teak,8,2025,"₹13,696"
2022,"₹6,198",Bookshelf,Teak Wood,High,Cream,3,2025,"₹4,518"
2016,"₹31,683",Bed,Steel,Low,Blue,9,2025,"₹1,278"
2017,"₹27,438",Dining Table,Teak Wood,Medium,Grey,8,2025,"₹4,603"
2023,"₹15,387",Wardrobe,Plastic,Low,Walnut,2,2025,"₹7,539"
2023,"₹25,009",Dresser,Plastic,Medium,Brown,2,2025,"₹16,005"
2019,"₹8,376",TV Unit,Wood,Medium,Cream,6,2025,"₹2,195"
2016,"₹26,096",Sofa,Teak Wood,Medium,Brown,9,2025,"₹3,502"
2015,"₹44,589",Sofa,Steel,Medium,Beige,10,2025,"₹4,787"
2015,"₹18,657",Wardrobe,MDF,Medium,Red,10,2025,"₹2,003"
2017,"₹17,857",Sofa,Plastic,Medium,Walnut,8,2025,"₹2,995"
2024,"₹3,901",Cabinet,Engineered Wood,High,Grey,1,2025,"₹3,510"
2015,"₹38,019",Chair,Plastic,High,White,10,2025,"₹13,256"
2020,"₹33,209",Table,Engineered Wood,Medium,Grey,5,2025,"₹10,881"
2022,"₹15,301",Table,Teak Wood,High,Grey,3,2025,"₹11,154"
2018,"₹44,912",Wardrobe,Wood,Low,Walnut,7,2025,"₹3,698"
2023,"₹39,815",Dining Table,Steel,Medium,Beige,2,2025,"₹25,481"
2023,"₹9,798",Dining Table,Wood,Low,White,2,2025,"₹4,801"
2020,"₹9,840",Chair,MDF,Medium,Brown,5,2025,"₹3,224"
2022,"₹3,454",Cabinet,Plywood,High,Black,3,2025,"₹2,517"
2021,"₹25,891",Dresser,Engineered Wood,Low,Teak,4,2025,"₹6,216"
2023,"₹4,942",Sofa,MDF,Medium,Walnut,2,2025,"₹3,162"
2015,"₹37,614",Dining Table,Plywood,High,Red,10,2025,"₹13,115"
2022,"₹28,129",Table,MDF,High,Teak,3,2025,"₹20,506"
2021,"₹34,190",Wardrobe,Teak Wood,High,White,4,2025,"₹22,432"
2020,"₹9,220",Sofa,MDF,Medium,Brown,5,2025,"₹3,021"
2019,"₹9,895",Dresser,Steel,Medium,Teak,6,2025,"₹2,593"
2020,"₹11,698",Wardrobe,Wood,Low,Teak,5,2025,"₹1,966"
2017,"₹49,071",Table,Engineered Wood,High,Red,8,2025,"₹21,123"
2015,"₹7,479",Bed,Steel,Medium,Walnut,10,2025,"₹1,000"
2015,"₹7,762",Wardrobe,Wood,Low,Beige,10,2025,"₹1,000"
2018,"₹10,363",Wardrobe,Steel,Low,Brown,7,2025,"₹1,000"
2024,"₹17,519",Bed,Plywood,Medium,Black,1,2025,"₹14,015"
2016,"₹9,702",Bed,MDF,High,Grey,9,2025,"₹3,758"
2019,"₹41,173",Dining Table,MDF,High,Beige,6,2025,"₹21,881"
2017,"₹8,172",Bed,Teak Wood,Low,White,8,2025,"₹1,000"
2017,"₹29,211",TV Unit,Plastic,High,Blue,8,2025,"₹12,574"
2016,"₹19,750",Cabinet,Plastic,High,Red,9,2025,"₹7,651"
2017,"₹19,066",Cabinet,MDF,Medium,Grey,8,2025,"₹3,198"
2016,"₹42,164",Sofa,Teak Wood,Medium,Teak,9,2025,"₹5,659"
2022,"₹17,993",Table,Wood,High,Beige,3,2025,"₹13,116"
2017,"₹28,813",Wardrobe,Steel,Medium,Grey,8,2025,"₹4,834"
2021,"₹48,692",Bed,Engineered Wood,Medium,Cream,4,2025,"₹19,944"
2023,"₹8,550",Dining Table,Plywood,Low,Brown,2,2025,"₹4,189"
2024,"₹23,322",Cabinet,Wood,Medium,Red,1,2025,"₹18,657"
2022,"₹15,604",Dining Table,Wood,Low,White,3,2025,"₹5,352"
2024,"₹46,328",Sofa,MDF,Medium,Cream,1,2025,"₹37,062"
